YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FLAG
2021,5,16,14,46,8,1
2021,5,16,14,52,1,1
2021,5,16,14,56,31,1
2021,5,16,15,3,3,1
2021,5,16,15,7,20,1
2021,5,16,15,12,53,1
2021,5,16,15,17,44,1
2021,5,16,15,22,49,1
2021,5,16,15,28,31,1
2021,5,16,15,33,14,1
2021,5,16,15,38,29,1
2021,5,16,15,48,22,1
2021,5,16,15,53,31,1
2021,5,16,16,2,43,1
2021,5,16,16,7,47,1
2021,5,16,16,13,20,1
2021,5,16,16,18,44,1
2021,5,16,16,23,16,1
2021,5,16,16,28,1,1
2021,5,16,16,33,34,1
2021,5,16,16,43,32,1
2021,5,16,16,49,8,1
2021,5,16,16,53,30,1
2021,5,16,17,2,34,1
2021,5,16,17,7,29,1
2021,5,16,17,12,54,1
2021,5,17,11,8,21,1
2021,5,17,11,17,45,1
2021,5,17,11,23,7,1
2021,5,17,11,32,59,1
2021,5,18,8,44,51,1
2021,5,18,8,50,55,1
2021,5,18,8,55,20,1
2021,5,18,11,7,39,1
2021,5,18,11,11,48,1
2021,5,18,11,16,51,1
2021,5,18,11,22,29,1
2021,5,18,11,27,0,1
2021,5,18,11,32,17,1
2021,5,18,11,37,7,1
2021,5,18,11,42,23,1
2021,5,18,11,47,19,1
2021,5,18,11,52,33,1
2021,5,18,12,2,29,1
2021,5,18,12,7,35,1
2021,5,18,12,12,39,1
2021,5,18,12,17,24,1
2021,5,18,12,22,41,1
2021,5,18,12,27,58,1
2021,5,18,12,32,45,1
2021,5,18,12,43,33,1
2021,5,18,12,48,5,1
2021,5,18,12,53,26,1
2021,5,18,13,2,47,1
2021,5,18,13,7,40,1
2021,5,18,13,17,39,1
2021,5,18,13,22,52,1
2021,5,18,13,28,21,1
2021,5,18,13,38,32,1
2021,5,18,13,43,18,1
2021,5,18,13,48,20,1
2021,5,18,13,53,31,1
2021,5,18,14,2,47,1
2021,5,18,14,7,45,1
2021,5,18,14,12,39,1
2021,5,18,14,18,1,1
2021,5,18,14,23,2,1
2021,5,18,14,28,15,1
2021,5,18,14,33,11,1
2021,5,18,14,38,13,1
2021,5,18,14,43,6,1
2021,5,18,14,48,7,1
2021,5,18,14,53,21,1
2021,5,18,15,2,31,1
2021,5,18,15,7,50,1
2021,5,18,15,12,45,1
2021,5,18,15,17,55,1
2021,5,18,15,22,23,1
2021,5,18,15,27,35,1
2021,5,18,15,32,38,1
2021,5,18,15,37,6,1
2021,5,18,15,44,1,1
2021,5,18,15,48,39,1
2021,5,18,15,53,55,1
2021,5,18,16,2,48,1
2021,5,18,16,8,2,1
2021,5,18,16,12,14,1
2021,5,18,16,18,2,1
2021,5,18,16,23,12,1
2021,5,18,16,28,4,1
2021,5,18,16,33,7,1
2021,5,18,16,38,7,1
2021,5,18,16,42,53,1
2021,5,18,16,48,20,1
2021,5,18,16,52,34,1
2021,5,18,17,2,44,1
2021,5,18,17,7,12,1
2021,5,18,17,13,34,1
2021,5,19,9,39,10,1
2021,5,19,9,45,38,1
2021,5,19,10,2,21,1
2021,5,19,10,6,1,1
2021,5,19,10,13,0,1
2021,5,19,10,22,47,1
2021,5,19,10,27,52,1
2021,5,19,10,42,10,1
2021,5,19,10,54,37,1
2021,5,19,11,50,0,1
2021,5,19,14,28,1,1
2021,5,19,15,33,13,1
2021,5,20,8,28,56,1
2021,5,20,8,35,3,1
2021,5,20,8,41,4,1
2021,5,20,8,45,40,0
2021,5,20,8,50,37,1
2021,5,20,8,54,50,1
2021,5,20,9,1,29,1
2021,5,20,9,5,47,1
2021,5,20,9,13,23,1
2021,5,20,9,27,5,1
2021,5,20,9,32,16,1
2021,5,20,9,35,5,1
2021,5,20,9,40,46,1
2021,5,20,10,3,13,1
2021,5,20,10,16,6,1
2021,5,20,10,26,42,1
2021,5,20,10,37,4,1
2021,5,20,10,41,57,1
2021,5,20,10,47,44,1
2021,5,20,10,52,44,1
2021,5,20,11,27,29,1
2021,5,20,11,32,14,1
2021,5,20,11,37,36,1
2021,5,20,11,48,2,1
2021,5,20,12,7,31,1
2021,5,20,12,12,16,1
2021,5,20,12,17,56,1
2021,5,20,12,22,47,1
2021,5,20,12,46,54,1
2021,5,20,12,52,18,1
2021,5,20,13,5,32,1
2021,5,20,13,10,41,1
2021,5,20,13,16,25,1
2021,5,20,13,26,6,1
2021,5,20,13,30,55,1
2021,5,20,13,36,45,1
2021,5,20,13,41,4,1
2021,5,20,13,46,5,1
2021,5,20,14,7,20,1
2021,5,20,14,13,45,1
2021,5,20,14,18,31,1
2021,5,20,14,22,56,1
2021,5,20,14,28,57,1
2021,5,20,14,34,5,1
2021,5,20,14,38,27,1
2021,5,20,14,44,9,1
2021,5,20,14,49,3,1
2021,5,20,15,8,13,1
2021,5,20,15,13,32,1
2021,5,20,15,18,7,1
2021,5,20,15,23,34,1
2021,5,20,15,28,47,1
2021,5,20,15,34,7,1
2021,5,20,15,38,55,1
2021,5,20,15,44,22,1
2021,5,20,16,2,31,1
2021,5,20,16,7,54,1
2021,5,20,16,12,47,1
2021,5,20,16,17,40,1
2021,5,20,16,23,9,1
2021,5,20,16,28,23,1
2021,5,20,16,33,17,1
2021,5,20,17,8,4,1
2021,5,20,17,13,40,1
2021,5,20,17,18,58,1
2021,5,21,9,8,38,1
2021,5,21,9,12,39,1
2021,5,21,9,18,16,1
2021,5,21,9,32,36,1
2021,5,21,9,38,19,1
2021,5,21,9,43,18,1
2021,5,21,9,48,3,1
